rank	station_name
1	横浜
2	恵比寿
3	吉祥寺
4	大宮
5	目黒
6	品川
7	新宿
8	池袋
9	中目黒
10	浦和
11	渋谷
12	東京
13	鎌倉
14	中野
15	表参道
16	自由が丘
17	赤羽
18	二子玉川
19	さいたま新都心
20	武蔵小杉
21	船橋
22	北千住
23	立川
24	たまプラーザ
25	柏
26	川崎
27	海老名
28	荻窪
29	三軒茶屋
30	藤沢
31	千葉
32	桜木町
33	三鷹
34	上野
35	津田沼
36	秋葉原
37	舞浜
38	みなとみらい
39	つくば
40	青山一丁目
41	下北沢
42	広尾
43	川越
44	和光市
45	川口
46	浦安
47	代々木
48	町田
49	流山おおたかの森
50	調布
51	有楽町
52	松戸
53	代々木上原
54	研究学園
55	所沢
56	銀座
57	豊洲
58	上大岡
59	守谷
60	高円寺
61	練馬
62	六本木
63	新浦安
64	浅草
65	本八幡
66	代官山
67	西船橋
68	大船
69	海浜幕張
70	市川
71	大崎
72	新横浜
73	新百合ヶ丘
74	戸塚
75	水戸
76	清澄白河
77	茅ヶ崎
78	センター北
79	相模大野
80	錦糸町
81	府中
82	神楽坂
83	大井町
84	古河
85	辻堂
86	日吉
87	麻布十番
88	武蔵浦和
89	門前仲町
90	京急川崎
91	橋本
92	茗荷谷
93	阿佐ヶ谷
94	小田原
95	田園調布
96	西荻窪
97	柏の葉キャンパス
98	センター南
99	飯田橋
100	高田馬場
